name,version
Newtonsoft.Json,13.0.3
Serilog,3.1.1
Serilog.Sinks.Console,5.0.1
AutoMapper,13.0.1
FluentValidation,11.9.1
MediatR,12.4.0
Polly,8.4.0
Dapper,2.1.35
Microsoft.EntityFrameworkCore,8.0.5
Microsoft.EntityFrameworkCore.SqlServer,8.0.5
Microsoft.Extensions.DependencyInjection,8.0.0
Microsoft.Extensions.Logging,8.0.0
Microsoft.Extensions.Configuration,8.0.0
Swashbuckle.AspNetCore,6.6.2
xunit,2.8.1
xunit.runner.visualstudio,2.8.1
Moq,4.20.70
FluentAssertions,6.12.0
NLog,5.3.2
RestSharp,110.2.0
StackExchange.Redis,2.7.33
NUnit,4.1.0
BenchmarkDotNet,0.13.12
